station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude,createdAt,updatedAt
49,New Lambton Heights,Lookout Road,ALL DAYS,43060,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
50,New Lambton Heights,Lookout Road,AM PEAK,11984,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
51,New Lambton Heights,Lookout Road,OFF PEAK,21656,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
52,New Lambton Heights,Lookout Road,PM PEAK,13398,-32.92556,151.696289,0000-00-00 00:00:00,0000-00-00 00:00:00
53,Waratah,Maud Street,ALL DAYS,18938,-32.896118,151.720154,0000-00-00 00:00:00,0000-00-00 00:00:00
54,Waratah,Maud Street,AM PEAK,5085,-32.896118,151.720154,0000-00-00 00:00:00,0000-00-00 00:00:00
55,Waratah,Maud Street,OFF PEAK,11081,-32.896118,151.720154,0000-00-00 00:00:00,0000-00-00 00:00:00
56,Waratah,Maud Street,PM PEAK,5824,-32.896118,151.720154,0000-00-00 00:00:00,0000-00-00 00:00:00
57,Argenton,Lake Road,ALL DAYS,25406,-32.941467,151.624649,0000-00-00 00:00:00,0000-00-00 00:00:00
58,Argenton,Lake Road,AM PEAK,6311,-32.941467,151.624649,0000-00-00 00:00:00,0000-00-00 00:00:00
59,Argenton,Lake Road,OFF PEAK,13185,-32.941467,151.624649,0000-00-00 00:00:00,0000-00-00 00:00:00
60,Argenton,Lake Road,PM PEAK,7847,-32.941467,151.624649,0000-00-00 00:00:00,0000-00-00 00:00:00
61,Redhead,Red Head Road,ALL DAYS,9074,-33.00746536,151.7157898,0000-00-00 00:00:00,0000-00-00 00:00:00
62,Redhead,Red Head Road,AM PEAK,2378,-33.00746536,151.7157898,0000-00-00 00:00:00,0000-00-00 00:00:00
63,Redhead,Red Head Road,OFF PEAK,4247,-33.00746536,151.7157898,0000-00-00 00:00:00,0000-00-00 00:00:00
64,Redhead,Red Head Road,PM PEAK,2911,-33.00746536,151.7157898,0000-00-00 00:00:00,0000-00-00 00:00:00
65,Belmont,Croudace Bay Road,ALL DAYS,12386,-33.025345,151.650024,0000-00-00 00:00:00,0000-00-00 00:00:00
66,Belmont,Croudace Bay Road,AM PEAK,3053,-33.025345,151.650024,0000-00-00 00:00:00,0000-00-00 00:00:00
67,Belmont,Croudace Bay Road,OFF PEAK,5963,-33.025345,151.650024,0000-00-00 00:00:00,0000-00-00 00:00:00
68,Belmont,Croudace Bay Road,PM PEAK,3889,-33.025345,151.650024,0000-00-00 00:00:00,0000-00-00 00:00:00
69,Denman,Palace Street,ALL DAYS,2799,-32.380688,150.690872,0000-00-00 00:00:00,0000-00-00 00:00:00
70,Denman,Palace Street,AM PEAK,589,-32.380688,150.690872,0000-00-00 00:00:00,0000-00-00 00:00:00
71,Denman,Palace Street,OFF PEAK,1517,-32.380688,150.690872,0000-00-00 00:00:00,0000-00-00 00:00:00
72,Denman,Palace Street,PM PEAK,765,-32.380688,150.690872,0000-00-00 00:00:00,0000-00-00 00:00:00
73,Glendale,Main Road,ALL DAYS,23792,-32.928658,151.641113,0000-00-00 00:00:00,0000-00-00 00:00:00
74,Glendale,Main Road,AM PEAK,7029,-32.928658,151.641113,0000-00-00 00:00:00,0000-00-00 00:00:00
75,Glendale,Main Road,OFF PEAK,11358,-32.928658,151.641113,0000-00-00 00:00:00,0000-00-00 00:00:00
76,Glendale,Main Road,PM PEAK,7946,-32.928658,151.641113,0000-00-00 00:00:00,0000-00-00 00:00:00
77,Kooragang,Nelson Bay Road,ALL DAYS,25261,-32.884647,151.786591,0000-00-00 00:00:00,0000-00-00 00:00:00
78,Kooragang,Nelson Bay Road,AM PEAK,7357,-32.884647,151.786591,0000-00-00 00:00:00,0000-00-00 00:00:00
79,Kooragang,Nelson Bay Road,OFF PEAK,11908,-32.884647,151.786591,0000-00-00 00:00:00,0000-00-00 00:00:00
80,Kooragang,Nelson Bay Road,PM PEAK,7896,-32.884647,151.786591,0000-00-00 00:00:00,0000-00-00 00:00:00
81,Braemar,Old Hume Highway,ALL DAYS,19993,-34.432686,150.480286,0000-00-00 00:00:00,0000-00-00 00:00:00
82,Braemar,Old Hume Highway,AM PEAK,4903,-34.432686,150.480286,0000-00-00 00:00:00,0000-00-00 00:00:00
83,Braemar,Old Hume Highway,OFF PEAK,9471,-34.432686,150.480286,0000-00-00 00:00:00,0000-00-00 00:00:00
84,Braemar,Old Hume Highway,PM PEAK,6109,-34.432686,150.480286,0000-00-00 00:00:00,0000-00-00 00:00:00
85,Macquarie Pass,Illawarra Highway,ALL DAYS,3676,-34.566525,150.662857,0000-00-00 00:00:00,0000-00-00 00:00:00
