station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
124,Stony Creek,Princes Highway,PM PEAK,1034,-36.627476,149.843384
125,Stony Creek,Snowy Mountains Highway,ALL DAYS,1787,-36.631699,149.814713
126,Stony Creek,Snowy Mountains Highway,AM PEAK,428,-36.631699,149.814713
127,Stony Creek,Snowy Mountains Highway,OFF PEAK,867,-36.631699,149.814713
128,Stony Creek,Snowy Mountains Highway,PM PEAK,510,-36.631699,149.814713
129,North Batemans Bay,Princes Highway,ALL DAYS,8733,-35.699673,150.184463
130,North Batemans Bay,Princes Highway,AM PEAK,2046,-35.699673,150.184463
131,North Batemans Bay,Princes Highway,OFF PEAK,4375,-35.699673,150.184463
132,North Batemans Bay,Princes Highway,PM PEAK,2479,-35.699673,150.184463
133,Bodalla,Princes Highway,ALL DAYS,5191,-36.105434,150.056808
134,Bodalla,Princes Highway,AM PEAK,1174,-36.105434,150.056808
135,Bodalla,Princes Highway,OFF PEAK,2756,-36.105434,150.056808
136,Bodalla,Princes Highway,PM PEAK,1423,-36.105434,150.056808
137,Pine Valley,Snowy Mountains Highway,ALL DAYS,3590,-36.241871,149.064804
138,Pine Valley,Snowy Mountains Highway,AM PEAK,895,-36.241871,149.064804
139,Pine Valley,Snowy Mountains Highway,OFF PEAK,1713,-36.241871,149.064804
140,Pine Valley,Snowy Mountains Highway,PM PEAK,1109,-36.241871,149.064804
141,Bunyan,Monaro Highway,ALL DAYS,4343,-36.155613,149.151504
142,Bunyan,Monaro Highway,AM PEAK,920,-36.155613,149.151504
143,Bunyan,Monaro Highway,OFF PEAK,2104,-36.155613,149.151504
144,Bunyan,Monaro Highway,PM PEAK,1258,-36.155613,149.151504
145,Bombala,Monaro Highway,ALL DAYS,1134,-36.893013,149.239685
146,Bombala,Monaro Highway,AM PEAK,263,-36.893013,149.239685
147,Bombala,Monaro Highway,OFF PEAK,604,-36.893013,149.239685
148,Bombala,Monaro Highway,PM PEAK,334,-36.893013,149.239685
149,Canley Heights,Cambridge Street,ALL DAYS,41189,-33.878181,150.924942
150,Canley Heights,Cambridge Street,AM PEAK,9964,-33.878181,150.924942
151,Canley Heights,Cambridge Street,OFF PEAK,21931,-33.878181,150.924942
152,Canley Heights,Cambridge Street,PM PEAK,11218,-33.878181,150.924942
153,Clifton,Lawrence Hargrave Drive,ALL DAYS,4888,-34.259789,150.969467
154,Clifton,Lawrence Hargrave Drive,AM PEAK,947,-34.259789,150.969467
155,Clifton,Lawrence Hargrave Drive,OFF PEAK,2328,-34.259789,150.969467
156,Clifton,Lawrence Hargrave Drive,PM PEAK,1131,-34.259789,150.969467
157,Pagewood,Wentworth Avenue,ALL DAYS,49670,-33.936672,151.209625
158,Pagewood,Wentworth Avenue,AM PEAK,12668,-33.936672,151.209625
159,Pagewood,Wentworth Avenue,OFF PEAK,25116,-33.936672,151.209625
160,Pagewood,Wentworth Avenue,PM PEAK,14391,-33.936672,151.209625
161,St Peters,Canal Road,ALL DAYS,31683,-33.919224,151.177978
162,St Peters,Canal Road,AM PEAK,8089,-33.919224,151.177978
163,St Peters,Canal Road,OFF PEAK,17595,-33.919224,151.177978
164,St Peters,Canal Road,PM PEAK,7372,-33.919224,151.177978
165,Lilyfield,City West Link Road,ALL DAYS,66255,-33.871185,151.172668
166,Lilyfield,City West Link Road,AM PEAK,14058,-33.871185,151.172668
167,Lilyfield,City West Link Road,OFF PEAK,36531,-33.871185,151.172668
168,Lilyfield,City West Link Road,PM PEAK,15533,-33.871185,151.172668
169,Cammeray,Strathallen Avenue,ALL DAYS,23632,-33.817001,151.212357
170,Cammeray,Strathallen Avenue,AM PEAK,6706,-33.817001,151.212357
171,Cammeray,Strathallen Avenue,OFF PEAK,10890,-33.817001,151.212357
172,Cammeray,Strathallen Avenue,PM PEAK,7168,-33.817001,151.212357
173,Mosman,Ourimbah Road,ALL DAYS,23871,-33.822067,151.238358
174,Mosman,Ourimbah Road,AM PEAK,6972,-33.822067,151.238358
175,Mosman,Ourimbah Road,OFF PEAK,10480,-33.822067,151.238358
176,Mosman,Ourimbah Road,PM PEAK,7183,-33.822067,151.238358
177,Brighton-Le-Sands,General Holmes Drive,ALL DAYS,64993,-33.95490646,151.1586761
178,Brighton-Le-Sands,General Holmes Drive,AM PEAK,16027,-33.95490646,151.1586761
179,Brighton-Le-Sands,General Holmes Drive,OFF PEAK,32460,-33.95490646,151.1586761
180,Brighton-Le-Sands,General Holmes Drive,PM PEAK,18842,-33.95490646,151.1586761
181,Arncliffe,Marsh Street,ALL DAYS,57089,-33.934475,151.15831
182,Arncliffe,Marsh Street,AM PEAK,15516,-33.934475,151.15831
183,Arncliffe,Marsh Street,OFF PEAK,31026,-33.934475,151.15831
184,Arncliffe,Marsh Street,PM PEAK,12771,-33.934475,151.15831
185,Wiley Park,King Georges Road,ALL DAYS,66643,-33.922554,151.068237
186,Wiley Park,King Georges Road,AM PEAK,9819,-33.922554,151.068237
187,Wiley Park,King Georges Road,OFF PEAK,39343,-33.922554,151.068237
188,Wiley Park,King Georges Road,PM PEAK,15712,-33.922554,151.068237
189,Roselands,Canterbury Road,ALL DAYS,41024,-33.928268,151.077286
190,Roselands,Canterbury Road,AM PEAK,9699,-33.928268,151.077286
191,Roselands,Canterbury Road,OFF PEAK,22089,-33.928268,151.077286
192,Roselands,Canterbury Road,PM PEAK,10348,-33.928268,151.077286
